Customer,Location_ID,Type,X,Y,Start,End,Demand
1,C1_HOME_MORNING,home_morning,14.103,-11.341,0.0,1.162,3
1,C1_ROAMING_1,roaming_1,11.373,-22.713,2.387,3.745,3
1,C1_ROAMING_2,roaming_2,5.294,-3.509,5.855,6.994,3
1,C1_ROAMING_3,roaming_3,11.251,-12.602,8.133,10.061,3
1,C1_HOME_EVENING,home_evening,14.103,-11.341,10.388,12.0,3
2,C2_HOME,home,-4.678,0.808,0.0,12,7
3,C3_HOME_MORNING,home_morning,15.183,8.745,0.0,2.437,1
3,C3_ROAMING_1,roaming_1,26.206,0.564,4.159,6.205,1
3,C3_ROAMING_2,roaming_2,12.762,-1.857,7.919,10.295,1
3,C3_HOME_EVENING,home_evening,15.183,8.745,11.659,12,1
4,C4_HOME_MORNING,home_morning,-32.64,-13.361,0.0,4.866,10
4,C4_HOME_EVENING,home_evening,-32.64,-13.361,4.866,12.0,10
5,C5_HOME_MORNING,home_morning,27.219,-29.325,0.0,10.02,7
5,C5_HOME_EVENING,home_evening,27.219,-29.325,10.02,12.0,7
6,C6_HOME_MORNING,home_morning,10.512,-5.373,0.0,1.296,4
6,C6_ROAMING_1,roaming_1,-0.54,-15.115,2.471,3.559,4
6,C6_ROAMING_2,roaming_2,11.349,-13.081,4.521,6.292,4
6,C6_ROAMING_3,roaming_3,5.304,6.455,7.923,9.932,4
6,C6_HOME_EVENING,home_evening,10.512,-5.373,10.963,12.0,4
7,C7_HOME_MORNING,home_morning,-8.741,19.441,0.0,0.336,4
7,C7_ROAMING_1,roaming_1,-18.184,13.697,1.363,2.699,4
7,C7_ROAMING_2,roaming_2,-1.564,31.138,4.937,7.403,4
7,C7_ROAMING_3,roaming_3,-10.994,21.85,8.632,9.499,4
7,C7_HOME_EVENING,home_evening,-8.741,19.441,9.805,12.0,4
8,C8_HOME_MORNING,home_morning,30.619,-9.242,0.0,1.827,9
8,C8_ROAMING_1,roaming_1,18.439,-2.077,4.227,7.569,9
8,C8_HOME_EVENING,home_evening,30.619,-9.242,9.969,12,9
9,C9_HOME_MORNING,home_morning,-22.335,-6.812,0.0,6.362,3
9,C9_HOME_EVENING,home_evening,-22.335,-6.812,6.362,12.0,3
10,C10_HOME_MORNING,home_morning,-33.548,-8.868,0.0,1.557,1
10,C10_HOME_EVENING,home_evening,-33.548,-8.868,1.557,12.0,1
11,C11_HOME_MORNING,home_morning,-6.584,-14.572,0.0,2.414,1
11,C11_ROAMING_1,roaming_1,-12.937,-10.781,3.793,4.447,1
11,C11_ROAMING_2,roaming_2,-3.48,-7.008,6.345,7.856,1
11,C11_HOME_EVENING,home_evening,-6.584,-14.572,9.38,12.0,1
12,C12_HOME_MORNING,home_morning,5.732,-23.435,0.0,2.59,8
12,C12_HOME_EVENING,home_evening,5.732,-23.435,2.59,12.0,8
