Customer,Location_ID,Type,X,Y,Start,End,Demand
1,C1_HOME_MORNING,home_morning,-14.05,-33.527,0.0,2.0,10
1,C1_WORK,work,25.702,-1.809,2.738,9.989,10
1,C1_AFTERWORK,after_work,-16.036,-31.788,10.239,11.631,10
1,C1_HOME_EVENING,home_evening,-14.05,-33.527,12.0,14,10
2,C2_HOME_MORNING,home_morning,36.667,-15.818,0.0,2.0,8
2,C2_WORK,work,0.596,-13.359,2.44,10.317,8
2,C2_AFTERWORK,after_work,34.829,-18.036,10.567,11.325,8
2,C2_HOME_EVENING,home_evening,36.667,-15.818,12.0,14,8
3,C3_HOME,home,-2.731,8.331,0.0,14,8
4,C4_HOME_MORNING,home_morning,-24.98,24.406,0.0,2.0,2
4,C4_WORK,work,3.051,3.624,6.0,10.0,2
4,C4_AFTERWORK,after_work,-14.556,25.578,10.25,10.759,2
4,C4_HOME_EVENING,home_evening,-24.98,24.406,12.0,14,2
5,C5_HOME,home,1.793,13.994,0.0,14,4
6,C6_HOME_MORNING,home_morning,-2.601,-37.095,0.0,2.0,7
6,C6_WORK,work,24.996,2.853,2.666,10.137,7
6,C6_AFTERWORK,after_work,-10.535,-30.983,10.387,11.792,7
6,C6_HOME_EVENING,home_evening,-2.601,-37.095,12.0,14,7
7,C7_HOME_MORNING,home_morning,-22.02,-2.419,0.0,2.0,2
7,C7_WORK,work,0.539,10.197,2.941,10.588,2
7,C7_AFTERWORK,after_work,-20.891,-0.401,10.838,12.097,2
7,C7_HOME_EVENING,home_evening,-22.02,-2.419,12.197,14,2
8,C8_HOME_MORNING,home_morning,0.712,-9.985,0.0,2.0,10
8,C8_WORK,work,-20.596,-1.894,2.1,9.651,10
8,C8_AFTERWORK,after_work,3.899,-10.576,9.901,11.504,10
8,C8_HOME_EVENING,home_evening,0.712,-9.985,12.0,14,10
9,C9_HOME_MORNING,home_morning,-4.071,-9.239,0.0,2.0,9
9,C9_WORK,work,-21.786,12.456,2.661,10.21,9
9,C9_AFTERWORK,after_work,3.899,-10.576,10.46,11.14,9
9,C9_HOME_EVENING,home_evening,-4.071,-9.239,12.0,14,9
10,C10_HOME_MORNING,home_morning,15.991,30.192,0.0,2.0,10
10,C10_WORK,work,26.055,16.182,3.933,10.202,10
10,C10_AFTERWORK,after_work,12.369,32.85,10.452,11.253,10
10,C10_HOME_EVENING,home_evening,15.991,30.192,12.0,14,10
11,C11_HOME_MORNING,home_morning,-12.809,38.177,0.0,2.0,8
11,C11_WORK,work,-2.724,34.34,2.634,9.828,8
11,C11_AFTERWORK,after_work,-10.842,33.125,10.078,10.875,8
11,C11_HOME_EVENING,home_evening,-12.809,38.177,12.0,14,8
12,C12_HOME,home,-27.388,34.6,0.0,14,4
13,C13_HOME_MORNING,home_morning,15.339,24.979,0.0,2.0,1
13,C13_WORK,work,-3.605,34.31,2.844,9.858,1
13,C13_HOME_EVENING,home_evening,15.339,24.979,12.0,14,1
14,C14_HOME_MORNING,home_morning,-15.923,21.312,0.0,2.0,1
14,C14_WORK,work,0.843,-16.136,2.451,10.407,1
14,C14_HOME_EVENING,home_evening,-15.923,21.312,12.0,14,1
15,C15_HOME_MORNING,home_morning,35.35,-18.861,0.0,2.0,3
15,C15_WORK,work,1.942,-17.393,2.664,10.076,3
15,C15_HOME_EVENING,home_evening,35.35,-18.861,12.0,14,3
16,C16_HOME_MORNING,home_morning,-3.874,10.432,0.0,2.0,6
16,C16_WORK,work,3.504,31.275,2.71,10.624,6
16,C16_HOME_EVENING,home_evening,-3.874,10.432,12.0,14,6
17,C17_HOME_MORNING,home_morning,-38.505,-13.062,0.0,2.0,9
17,C17_WORK,work,0.25,17.161,2.333,9.533,9
17,C17_HOME_EVENING,home_evening,-38.505,-13.062,12.0,14,9
18,C18_HOME_MORNING,home_morning,-16.893,23.553,0.0,2.0,10
18,C18_WORK,work,23.637,3.287,2.272,9.807,10
18,C18_AFTERWORK,after_work,-14.556,25.578,10.057,10.674,10
18,C18_HOME_EVENING,home_evening,-16.893,23.553,12.0,14,10
19,C19_HOME_MORNING,home_morning,-10.531,17.303,0.0,2.0,2
19,C19_WORK,work,4.683,33.45,2.702,10.449,2
19,C19_AFTERWORK,after_work,-2.454,15.067,10.699,11.828,2
19,C19_HOME_EVENING,home_evening,-10.531,17.303,12.0,14,2
20,C20_HOME_MORNING,home_morning,-1.203,-39.641,0.0,2.0,5
20,C20_WORK,work,4.782,10.917,2.0,6.0,5
20,C20_AFTERWORK,after_work,-10.535,-30.983,6.25,7.965,5
20,C20_HOME_EVENING,home_evening,-1.203,-39.641,12.0,14,5
21,C21_HOME_MORNING,home_morning,-9.787,1.486,0.0,2.0,6
21,C21_WORK,work,-22.101,17.287,2.713,9.95,6
21,C21_HOME_EVENING,home_evening,-9.787,1.486,12.0,14,6
22,C22_HOME_MORNING,home_morning,-12.605,-5.069,0.0,2.0,4
22,C22_WORK,work,28.375,11.961,2.648,9.664,4
22,C22_AFTERWORK,after_work,-21.378,-8.123,9.914,10.642,4
22,C22_HOME_EVENING,home_evening,-12.605,-5.069,12.0,14,4
23,C23_HOME_MORNING,home_morning,-28.599,39.761,0.0,2.0,2
23,C23_WORK,work,28.383,0.481,2.663,9.962,2
23,C23_HOME_EVENING,home_evening,-28.599,39.761,12.0,14,2
24,C24_HOME_MORNING,home_morning,-18.714,-37.561,0.0,2.0,8
24,C24_WORK,work,-1.458,33.376,2.959,10.951,8
24,C24_AFTERWORK,after_work,-16.036,-31.788,11.201,13.069,8
24,C24_HOME_EVENING,home_evening,-18.714,-37.561,13.169,14,8
25,C25_HOME_MORNING,home_morning,39.061,-1.931,0.0,2.0,7
25,C25_WORK,work,-1.119,-17.254,2.825,10.653,7
25,C25_AFTERWORK,after_work,33.836,-13.429,10.903,11.929,7
25,C25_HOME_EVENING,home_evening,39.061,-1.931,12.029,14,7
26,C26_HOME_MORNING,home_morning,8.098,-17.796,0.0,2.0,1
26,C26_WORK,work,21.765,12.322,2.108,9.969,1
26,C26_AFTERWORK,after_work,10.506,-21.569,10.219,11.247,1
26,C26_HOME_EVENING,home_evening,8.098,-17.796,12.0,14,1
27,C27_HOME_MORNING,home_morning,-37.982,-33.759,0.0,2.0,9
27,C27_WORK,work,29.515,4.879,2.515,10.511,9
27,C27_AFTERWORK,after_work,-26.075,-19.555,10.761,11.36,9
27,C27_HOME_EVENING,home_evening,-37.982,-33.759,12.0,14,9
28,C28_HOME_MORNING,home_morning,-39.517,4.666,0.0,2.0,5
28,C28_WORK,work,-1.146,25.818,2.006,9.338,5
28,C28_AFTERWORK,after_work,-32.475,1.945,9.588,11.267,5
28,C28_HOME_EVENING,home_evening,-39.517,4.666,12.0,14,5
29,C29_HOME_MORNING,home_morning,-13.602,23.87,0.0,2.0,1
29,C29_WORK,work,4.201,28.517,2.371,9.395,1
29,C29_AFTERWORK,after_work,-14.556,25.578,9.645,11.496,1
29,C29_HOME_EVENING,home_evening,-13.602,23.87,12.0,14,1
30,C30_HOME_MORNING,home_morning,-30.289,6.406,0.0,2.0,9
30,C30_WORK,work,21.901,-2.352,3.965,8.243,9
30,C30_AFTERWORK,after_work,-32.475,1.945,8.493,10.266,9
30,C30_HOME_EVENING,home_evening,-30.289,6.406,12.0,14,9
